,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
0,0,Maruti Wagon,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75,Maruti
1,1,Hyundai Creta,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5,Hyundai
2,2,Honda Jazz,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5,Honda
3,3,Maruti Ertiga,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6.0,Maruti
4,4,Audi A4,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74,Audi
5,5,Hyundai EON,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35,Hyundai
6,6,Nissan Micra,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5,Nissan
7,7,Toyota Innova,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5,Toyota
8,8,Volkswagen Vento,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2,Volkswagen
9,9,Tata Indica,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5,1.95,Tata
10,10,Maruti Ciaz,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95,Maruti
11,11,Honda City,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49,Honda
12,12,Maruti Swift,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5,5.6,Maruti
13,13,Land Rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27.0,Land
14,14,Land Rover,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115.0,5,17.5,Land
15,15,Mitsubishi Pajero,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15.0,Mitsubishi
16,16,Honda Amaze,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4,Honda
17,17,Maruti Swift,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5,5.99,Maruti
18,18,Renault Duster,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34,Renault
19,19,Mercedes-Benz New,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28.0,Mercedes-Benz
20,20,BMW 3,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5,18.55,BMW
21,21,Maruti S,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25,Maruti
22,22,Audi A6,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5,Audi
23,23,Hyundai i20,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5,1.87,Hyundai
24,24,Volkswagen Vento,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85,Volkswagen
25,25,Honda City,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25,Honda
26,26,Nissan Micra,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25,Nissan
27,27,Maruti Alto,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75,Maruti
28,28,Honda WRV,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9,Honda
29,29,Toyota Innova,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7,4.0,Toyota
30,30,Renault Duster,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75,Renault
31,31,Toyota Corolla,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75,Toyota
32,32,Mahindra Ssangyong,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7,12.5,Mahindra
33,33,Audi A6,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5,Audi
34,34,Volkswagen Vento,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98,Volkswagen
35,35,Maruti Wagon,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5,1.85,Maruti
36,36,Maruti Vitara,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63,Maruti
37,37,Mahindra KUV,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5,4.85,Mahindra
38,38,Mercedes-Benz M-Class,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28.0,Mercedes-Benz
39,39,Volkswagen Polo,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5.0,Volkswagen
40,40,Maruti Alto,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25,Maruti
41,41,Tata Nano,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53,Tata
42,42,Mahindra KUV,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6,5.58,Mahindra
43,43,Hyundai i20,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74,Hyundai
44,44,Hyundai Elantra,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85,Hyundai
45,45,Toyota Corolla,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11,Toyota
46,46,Hyundai Elantra,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25,Hyundai
47,47,Toyota Innova,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95,Toyota
48,48,Hyundai Xcent,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5,3.85,Hyundai
49,49,Mahindra Thar,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6,5.5,Mahindra
50,50,Audi A4,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43,Audi
51,51,Maruti Swift,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5,4.25,Maruti
52,52,Maruti Swift,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5,3.3,Maruti
53,53,Maruti Swift,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5,3.85,Maruti
54,54,Hyundai Grand,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5,3.6,Hyundai
55,55,Volkswagen Vento,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99,Volkswagen
56,56,Renault KWID,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3,Renault
57,57,Hyundai i10,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07,Hyundai
58,58,Nissan X-Trail,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75,Nissan
59,59,Maruti Zen,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25,Maruti
60,60,Toyota Innova,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5,Toyota
61,61,Ford Figo,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5,2.75,Ford
62,62,Mercedes-Benz New,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5,26.7,Mercedes-Benz
63,63,Mercedes-Benz New,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5,10.0,Mercedes-Benz
64,64,Tata Indica,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5,2.5,Tata
65,65,Audi A4,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5,13.5,Audi
66,66,Honda City,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5,1.85,Honda
67,67,Mercedes-Benz C-Class,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194.0,5,35.67,Mercedes-Benz
68,68,Maruti Ertiga,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15,Maruti
69,69,Hyundai Creta,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5,Hyundai
70,70,Porsche Cayenne,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5,14.5,Porsche
71,71,Mahindra XUV500,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7,9.65,Mahindra
72,72,Hyundai i10,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48,Hyundai
73,73,Nissan Terrano,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92,Nissan
74,74,Honda Brio,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46,Honda
75,75,Audi A6,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5,Audi
77,77,Toyota Innova,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8,4.5,Toyota
78,78,Toyota Innova,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7,11.75,Toyota
80,80,Maruti Swift,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5,3.75,Maruti
81,81,Tata Zest,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5,Tata
82,82,Honda Amaze,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5,4.82,Honda
83,83,Ford Figo,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5,2.8,Ford
84,84,Maruti Ritz,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11,Maruti
85,85,Honda City,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25,Honda
86,86,BMW 5,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5,13.9,BMW
87,87,Hyundai i10,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25,Hyundai
88,88,Hyundai Grand,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5,5.75,Hyundai
90,90,Honda Amaze,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5.0,Honda
91,91,Toyota Fortuner,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7,16.5,Toyota
92,92,Audi A6,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58,Audi
93,93,Ford Ecosport,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5,Ford
94,94,Mahindra XUV500,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7,8.1,Mahindra
95,95,Honda Amaze,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,Honda
96,96,Volkswagen Polo,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79,Volkswagen
97,97,Hyundai Verna,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5,3.45,Hyundai
98,98,Maruti Wagon,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45,Maruti
99,99,Volkswagen Polo,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65,Volkswagen
100,100,Hyundai i20,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5,3.8,Hyundai
101,101,Hyundai i20,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65,Hyundai
102,102,Datsun GO,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7,3.95,Datsun
103,103,Audi A4,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8,Audi
104,104,Hyundai i20,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5,2.7,Hyundai
105,105,Maruti Omni,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35.0,5,2.41,Maruti
106,106,Toyota Etios,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9,Toyota
107,107,Jaguar XF,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24.0,Jaguar
108,108,Mahindra XUV500,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7,5.75,Mahindra
109,109,Hyundai Verna,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25,Hyundai
110,110,Toyota Innova,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25,Toyota
111,111,Maruti Eeco,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5,3.91,Maruti
112,112,Tata Nano,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15,Tata
113,113,BMW 3,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5,20.75,BMW
114,114,Honda Civic,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5,3.35,Honda
115,115,Toyota Innova,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11,Toyota
116,116,Volvo V40,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5,20.0,Volvo
117,117,Nissan Micra,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55,Nissan
118,118,BMW 5,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5,7.0,BMW
119,119,Maruti Vitara,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5,Maruti
121,121,Mercedes-Benz B,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5,16.75,Mercedes-Benz
122,122,Hyundai Verna,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5,10.95,Hyundai
123,123,Maruti Wagon,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45,Maruti
124,124,Tata Nano,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23,Tata
125,125,Mahindra Scorpio,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8,7.75,Mahindra
126,126,Mercedes-Benz New,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5,9.35,Mercedes-Benz
127,127,Maruti Wagon,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25,Maruti
